case,Year,R.mth,date,intv_nam,Country_residence,City_residence,Purpose_grp,Purpose,Weights_QTR,Air_Terminal,Sea_Terminal,Land_Terminal,langint,1st_visit,length_stay,travel_type,f1_gender,f3_occupation,f4_industry,f5_designation,f5_designation.oth,shop_$fash,shop_$jew,shop_$wat,shop_$well,shop_$food,shop_$gift,shop_$ctec,shop_$anti,shop_$oth,shop_$any,totacc_$,totfnb_$,tottran_$,totbiz_$,totedu_$,totmedi_$,tototh_$,totshopping_$,totexp_$,MainAccomm,MainHotel,travel_companion.1,travel_companion.2,travel_companion.3,travel_companion.4,travel_companion.5
18,2015,January,2015-01-01,Cindy Liu,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,632.1451612903226,Terminal 1,,,English,No,4 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Marketing & Media,Director, ,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,750.0,153.2278469334325,76.61392346671624,11.492088520007437,0.0,0,0.0,0.0,854.8531356990169,1096.186994619173,Hotel,V Hotel Lavender,Spouse,Children aged 8-12 yrs,,,
41,2015,January,2015-01-01,Philip Chew,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,341.9375,,RFT,,English,No,2 days,Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Electronics & Precision Engineering,Others (specify),Engineer,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,155.7407407407408,24.8456790123456,27.2037037037038,0.0,0,0.0,0.0,171.51980236568352,379.30992582247376,Hotel,Madras Hotel,Spouse,Children aged 0-7 yrs,Friends,,
43,2015,January,2015-01-01,Philip Chew,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,432.8666666666667,,RFT,,English,No,3 days,Non-Packaged,Female,Homemaker (Full time),,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.15354602678903,139.76749625168776,27.953499250337558,0.0,0,0.0,0.0,104.85313569901686,420.72767722783124,Hotel,Hotel 81 - Geylang,Spouse,Children aged 8-12 yrs,,,
44,2015,January,2015-01-01,Philip Chew,Indonesia,Batam,Leisure,Others,368.2857142857143,,RFT,,English,No,1 day,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Transportation and Logistics,Others (specify),Accountant,25.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,116.0,0.0,143.7608532874503,14.376085328745027,0.0,0,0.0,0.0,220.85313569901686,378.99007431521215,Accommodation not required - Others,,Partner/ Boyfriend/ Girlfriend,Parents/ Parents-in-law,Siblings,,
45,2015,January,2015-01-01,Philip Chew,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",315.2549019607843,,RFT,,English,No,1 day,Packaged,Male,Student,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.2278469334325,45.96835408002975,38.30696173335812,0.0,0,0.0,0.0,104.85313569901686,342.35629844583724,Hotel,Hotel 81 - Bencoolen,Parents/ Parents-in-law,Siblings,,,
46,2015,January,2015-01-01,Philip Chew,Indonesia,Bengkulu,Leisure,Holiday/ Rest & Relax,361.55555555555554,,RFT,,English,No,1 day,Non-Packaged,Male,Student,,, ,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,94.34305996988924,31.44768665662975,0.0,0,0.0,0.0,164.85313569901686,290.64388232553586,Accommodation not required - Others,,Parents/ Parents-in-law,Other relatives,Siblings,,
47,2015,January,2015-01-01,Philip Chew,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,341.9375,,RFT,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Fincial and Insurance Activities,Junior Executive, ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,65.41118824578987,50.31629865060759,42.76885385301646,0.0,0,0.0,0.0,119.85313569901686,278.3494764484308,Hostel (Rental by bed),,Friends,,,,
49,2015,January,2015-01-01,Philip Chew,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,341.9375,,RFT,,English,No,1 day,Non-Packaged,Female,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Others (specify),Owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,25.158149325303796,25.158149325303796,0.0,0,0.0,0.0,114.85313569901686,165.16943434962445,Stayed with relatives/ friends,,Friends,,,,
50,2015,January,2015-01-01,Philip Chew,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,621.195652173913,,RFT,,English,No,3 days,Non-Packaged,Female,Homemaker (Full time),,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.32548234345452,139.76749625168776,55.906998500675115,0.0,0,0.0,0.0,104.85313569901686,386.85311279483426,Hotel,Hotel 81 - Geylang,Spouse,Children aged 8-12 yrs,,,
51,2015,January,2015-01-01,Philip Chew,Indonesia,Tanjung Pinang,Leisure,Holiday/ Rest & Relax,341.9375,,RFT,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Fincial and Insurance Activities,Junior Executive, ,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,50.31629865060759,62.8953733132595,25.158149325303796,0.0,0,0.0,0.0,114.85313569901686,253.22295698818778,Hostel (Rental by bed),,Friends,,,,
